Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605606619,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605606619247;,96;,1;
1605606619,192.168.1.192,50520,137.110.0.69,443,17,1220,2042,10,15,1605606619376;1605606619377;1605606619377;1605606619377;1605606619402;1605606619473;1605606619473;1605606619473;1605606619474;1605606619495;1605606619605;1605606619605;1605606619606;1605606619606;1605606619690;1605606619850;1605606619850;1605606619850;1605606619851;1605606619870;1605606619953;1605606619954;1605606619954;1605606619954;1605606619973;,165;126;126;126;126;182;126;126;126;126;145;106;106;106;106;165;126;126;126;126;165;126;126;126;126;,2;2;1;1;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1;2;
1605606620,192.168.1.192,50520,137.110.0.69,443,17,3622,1461,12,11,1605606620076;1605606620091;1605606620107;1605606620113;1605606620187;1605606620188;1605606620188;1605606620188;1605606620208;1605606620216;1605606620235;1605606620939;1605606620940;1605606620940;1605606620944;1605606620944;1605606620951;1605606620952;1605606620988;1605606620989;1605606620994;1605606620994;1605606620994;,127;127;138;138;165;126;126;126;126;127;138;327;145;582;1141;582;106;106;106;145;106;167;106;,1;1;2;2;2;2;1;1;2;1;2;1;1;1;1;1;2;1;2;2;2;2;1;
1605606620,192.168.1.202,5353,224.0.0.251,5353,17,692,0,2,0,1605606620887;1605606620888;,234;458;,1;1;
1605606620,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,732,0,2,0,1605606620888;1605606620889;,254;478;,1;1;
1605606621,192.168.1.192,50520,137.110.0.69,443,17,3719,11023,13,22,1605606621080;1605606621080;1605606621080;1605606621080;1605606621080;1605606621080;1605606621086;1605606621108;1605606621108;1605606621108;1605606621108;1605606621108;1605606621109;1605606621109;1605606621109;1605606621621;1605606621646;1605606621748;1605606621748;1605606621749;1605606621749;1605606621763;1605606621764;1605606621764;1605606621774;1605606621808;1605606621947;1605606621947;1605606621947;1605606621948;1605606621972;1605606621972;1605606621972;1605606621972;1605606621972;,1366;1366;350;137;106;106;1366;1366;1366;1366;637;137;106;106;106;175;106;182;126;126;126;145;106;106;126;106;245;165;1366;880;126;126;126;126;165;,2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;1;2;2;1;1;1;1;2;2;2;2;2;
1605606621,192.168.1.202,5353,224.0.0.251,5353,17,1629,0,6,0,1605606621092;1605606621398;1605606621705;1605606621706;1605606621910;1605606621912;,173;279;189;243;287;458;,1;1;1;1;1;1;
1605606621,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,1749,0,6,0,1605606621094;1605606621399;1605606621705;1605606621706;1605606621911;1605606621912;,193;299;209;263;307;478;,1;1;1;1;1;1;
1605606621,192.168.1.202,0,224.0.0.251,0,2,32,0,1,0,1605606621299;,32;,1;
1605606622,192.168.1.192,50520,137.110.0.69,443,17,1060,2401,8,12,1605606622018;1605606622037;1605606622037;1605606622037;1605606622037;1605606622037;1605606622038;1605606622038;1605606622038;1605606622066;1605606622227;1605606622227;1605606622227;1605606622228;1605606622311;1605606622757;1605606622856;1605606622897;1605606622898;1605606622914;,126;207;732;187;278;165;126;126;165;126;145;106;106;106;106;164;106;137;141;106;,1;2;2;2;2;2;1;1;1;2;2;2;1;1;2;1;2;2;1;2;
1605606622,192.168.1.202,5353,224.0.0.251,5353,17,446,0,2,0,1605606622115;1605606622729;,203;243;,1;1;
1605606622,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,486,0,2,0,1605606622115;1605606622729;,223;263;,1;1;
1605606623,192.168.1.202,5353,224.0.0.251,5353,17,919,0,3,0,1605606623246;1605606623247;1605606623959;,118;203;598;,1;1;1;
1605606623,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,979,0,3,0,1605606623247;1605606623248;1605606623959;,138;223;618;,1;1;1;
1605606623,192.168.1.192,50520,137.110.0.69,443,17,0,100,0,1,1605606623699;,100;,2;
1605606624,192.168.1.202,5353,224.0.0.251,5353,17,290,0,2,0,1605606624265;1605606624880;,118;172;,1;1;
1605606624,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,330,0,2,0,1605606624265;1605606624880;,138;192;,1;1;
1605606625,192.168.1.192,50520,137.110.0.69,443,17,127,138,1,1,1605606625271;1605606625299;,127;138;,1;2;
1605606625,192.168.1.202,5353,224.0.0.251,5353,17,203,0,1,0,1605606625289;,203;,1;
1605606625,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,223,0,1,0,1605606625290;,223;,1;
1605606626,192.168.1.192,50520,137.110.0.69,443,17,374,417,2,3,1605606626972;1605606626973;1605606626997;1605606626998;1605606626998;,209;165;126;126;165;,1;1;2;2;2;
1605606627,192.168.1.192,50520,137.110.0.69,443,17,1909,1400,10,9,1605606627023;1605606627023;1605606627023;1605606627023;1605606627023;1605606627024;1605606627051;1605606627097;1605606627177;1605606627196;1605606627196;1605606627671;1605606627719;1605606627720;1605606627729;1605606627764;1605606627779;1605606627938;1605606627999;,218;200;165;126;126;165;126;169;127;106;138;162;106;162;179;106;126;162;640;,2;2;2;1;1;1;2;1;1;2;2;1;2;2;2;1;1;1;1;
1605606627,192.168.1.202,5353,224.0.0.251,5353,17,836,0,2,0,1605606627132;1605606627959;,118;718;,1;1;
1605606627,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,876,0,2,0,1605606627133;1605606627960;,138;738;,1;1;
1605606628,192.168.1.192,50520,137.110.0.69,443,17,4178,960,6,4,1605606628000;1605606628000;1605606628000;1605606628009;1605606628026;1605606628026;1605606628046;1605606628051;1605606628051;1605606628064;,1366;1366;1128;162;160;106;106;532;106;106;,1;1;1;2;2;1;2;2;1;1;
1605606629,192.168.1.192,50520,137.110.0.69,443,17,1524,484,4,4,1605606629143;1605606629232;1605606629439;1605606629538;1605606629937;1605606629937;1605606629984;1605606629985;,107;118;164;106;320;933;106;154;,1;2;1;2;1;1;2;2;
1605606630,192.168.1.192,50520,137.110.0.69,443,17,212,1334,2,1,1605606630040;1605606630097;1605606630151;,106;1334;106;,1;2;1;
1605606633,192.168.1.192,50520,137.110.0.69,443,17,107,106,1,1,1605606633091;1605606633113;,107;106;,1;2;
1605606633,192.168.1.202,5353,224.0.0.251,5353,17,172,0,1,0,1605606633891;,172;,1;
1605606633,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,192,0,1,0,1605606633891;,192;,1;
1605606634,192.168.1.192,50520,137.110.0.69,443,17,165,0,1,0,1605606634978;,165;,1;
1605606635,192.168.1.192,50520,137.110.0.69,443,17,242,260,2,2,1605606635054;1605606635104;1605606635230;1605606635362;,154;106;136;106;,2;1;1;2;
1605606636,192.168.1.192,50520,137.110.0.69,443,17,1706,687,6,3,1605606636056;1605606636124;1605606636166;1605606636421;1605606636508;1605606636509;1605606636564;1605606636953;1605606636953;,149;280;106;323;106;301;106;324;698;,1;2;1;1;2;2;1;1;1;
1605606637,192.168.1.192,50520,137.110.0.69,443,17,536,1708,4,6,1605606637000;1605606637000;1605606637040;1605606637175;1605606637228;1605606637929;1605606637929;1605606637978;1605606637978;1605606637978;,106;154;106;1018;106;162;162;106;162;162;,2;2;1;2;1;1;1;2;2;2;
1605606638,192.168.1.192,50520,137.110.0.69,443,17,4268,638,7,2,1605606638010;1605606638010;1605606638010;1605606638011;1605606638023;1605606638023;1605606638039;1605606638045;1605606638045;,640;1366;1366;578;106;106;106;532;106;,1;1;1;1;1;1;2;2;1;
1605606640,192.168.1.192,53172,137.110.0.69,443,6,117,117,2,2,1605606640862;1605606640884;1605606640884;1605606640925;,77;40;77;40;,1;2;2;1;
1605606642,192.168.1.192,50520,137.110.0.69,443,17,714,784,5,6,1605606642029;1605606642029;1605606642029;1605606642029;1605606642049;1605606642452;1605606642477;1605606642672;1605606642703;1605606642930;1605606642951;,182;126;126;126;126;127;138;175;106;160;106;,2;1;2;1;2;1;2;1;2;1;2;
1605606643,192.168.1.192,50520,137.110.0.69,443,17,943,1394,8,6,1605606643023;1605606643071;1605606643135;1605606643158;1605606643940;1605606643941;1605606643941;1605606643941;1605606643962;1605606643963;1605606643963;1605606643964;1605606643965;1605606643965;,139;106;107;118;106;126;127;127;317;588;106;118;126;126;,2;1;1;2;1;1;1;1;2;2;2;1;2;1;
