Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606808046,2605:E000:151F:C329:ADC4:466B:49F2:19E9,50100,2A03:2880:F10D:83:FACE:B00C::25DE,443,17,7370,65040,30,60,1606808046002;1606808046008;1606808046174;1606808046174;1606808046174;1606808046174;1606808046190;1606808046216;1606808046230;1606808046275;1606808046275;1606808046314;1606808046655;1606808046655;1606808046656;1606808046656;1606808046656;1606808046656;1606808046656;1606808046656;1606808046658;1606808046658;1606808046658;1606808046659;1606808046659;1606808046659;1606808046660;1606808046660;1606808046660;1606808046661;1606808046661;1606808046661;1606808046661;1606808046661;1606808046661;1606808046662;1606808046662;1606808046662;1606808046662;1606808046663;1606808046663;1606808046665;1606808046671;1606808046671;1606808046671;1606808046672;1606808046672;1606808046672;1606808046672;1606808046672;1606808046672;1606808046672;1606808046672;1606808046672;1606808046673;1606808046673;1606808046673;1606808046673;1606808046676;1606808046676;1606808046676;1606808046676;1606808046676;1606808046676;1606808046680;1606808046893;1606808046893;1606808046893;1606808046893;1606808046893;1606808046893;1606808046897;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046898;1606808046901;1606808046901;1606808046914;1606808046917;1606808046944;1606808046995;1606808046995;,73;83;596;1373;1378;183;77;83;73;179;86;73;1280;1280;1280;1280;86;1280;82;82;1280;1280;82;1280;1280;82;1280;1280;82;1280;1280;1280;1280;82;82;1280;1280;1280;1280;82;82;1280;1280;1280;82;1280;1280;1280;1280;1280;1280;1280;1280;1280;82;82;82;82;1280;1280;1280;1280;82;474;83;1280;369;1280;1280;1280;1280;83;1280;1280;1280;1280;1280;1280;1280;1280;1280;680;82;1372;483;77;83;73;172;86;,2;1;1;1;1;1;2;1;2;2;1;2;2;2;2;2;1;2;1;1;2;2;1;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;
1606808046,192.168.1.192,63630,13.226.254.114,443,6,248,1163,3,4,1606808046168;1606808046168;1606808046185;1606808046185;1606808046186;1606808046186;1606808046186;,129;79;52;40;79;992;40;,1;1;2;2;2;2;1;
1606808046,192.168.1.192,63631,151.101.198.180,443,6,3407,716,6,8,1606808046195;1606808046195;1606808046195;1606808046195;1606808046209;1606808046231;1606808046231;1606808046231;1606808046231;1606808046231;1606808046234;1606808046235;1606808046270;1606808046321;,122;86;2930;189;40;40;40;40;40;86;82;40;348;40;,1;1;1;1;2;2;2;2;2;2;2;1;2;1;
1606808046,2605:E000:151F:C329:ADC4:466B:49F2:19E9,50808,2A03:2880:F00D:8:FACE:B00C::1,443,17,2940,19473,13,23,1606808046718;1606808046752;1606808046752;1606808046752;1606808046752;1606808046753;1606808046753;1606808046753;1606808046768;1606808046768;1606808046768;1606808046768;1606808046773;1606808046773;1606808046773;1606808046773;1606808046773;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046774;1606808046775;1606808046775;1606808046775;1606808046776;1606808046776;1606808046783;1606808046788;1606808046788;1606808046814;,1378;1280;1280;239;103;196;461;159;87;74;306;82;76;76;82;1280;1280;86;1280;1280;1280;1280;1280;1280;82;82;82;1280;82;1204;1280;86;1280;596;82;72;,1;2;2;2;2;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;1;2;2;1;2;
1606808046,2605:E000:151F:C329:ADC4:466B:49F2:19E9,63732,2A03:2880:F00D:8:FACE:B00C::1,443,6,893,843,5,6,1606808046743;1606808046755;1606808046755;1606808046756;1606808046768;1606808046768;1606808046769;1606808046783;1606808046783;1606808046783;1606808046783;,72;72;60;577;60;272;124;60;239;140;60;,1;2;1;1;2;2;1;2;2;2;1;
1606808046,2605:E000:151F:C329:ADC4:466B:49F2:19E9,58229,2A03:2880:F00D:8:FACE:B00C::1,443,17,879,3497,6,9,1606808046759;1606808046778;1606808046778;1606808046778;1606808046778;1606808046778;1606808046804;1606808046815;1606808046835;1606808046849;1606808046849;1606808046850;1606808046850;1606808046876;1606808046889;,270;71;71;1280;155;86;83;72;271;76;1280;86;420;83;72;,1;2;2;2;2;1;1;2;1;2;2;1;2;1;2;
1606808046,192.168.1.192,55145,192.168.1.1,53,17,74,90,1,1,1606808046806;1606808046824;,74;90;,1;2;
1606808046,192.168.1.192,61634,192.168.1.1,53,17,74,102,1,1,1606808046806;1606808046824;,74;102;,1;2;
1606808046,2605:E000:151F:C329:ADC4:466B:49F2:19E9,61635,2A03:2880:F00D:115:FACE:B00C::3,443,17,4046,40837,23,41,1606808046825;1606808046844;1606808046845;1606808046846;1606808046846;1606808046846;1606808046847;1606808046847;1606808046859;1606808046859;1606808046860;1606808046860;1606808046860;1606808046860;1606808046860;1606808046860;1606808046860;1606808046860;1606808046860;1606808046861;1606808046861;1606808046861;1606808046861;1606808046861;1606808046861;1606808046861;1606808046861;1606808046862;1606808046862;1606808046862;1606808046863;1606808046863;1606808046863;1606808046875;1606808046875;1606808046876;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046878;1606808046880;1606808046880;1606808046880;1606808046880;1606808046880;1606808046880;1606808046880;1606808046880;1606808046881;1606808046881;1606808046908;1606808046917;1606808046917;1606808046917;,1378;1280;1280;240;104;198;617;284;87;75;76;76;82;1280;843;304;1280;86;82;86;1280;1280;1280;82;1280;1280;82;1280;1280;82;1280;1280;82;1280;1280;82;1280;1280;1280;1280;1280;1280;1280;1280;1280;82;82;82;82;82;1280;1280;1280;1280;1280;1280;281;82;82;82;83;279;72;84;,1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;1;
1606808046,192.168.1.192,49327,137.221.105.152,1119,6,109,40,1,1,1606808046931;1606808046950;,109;40;,1;2;
