Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605607224,192.168.1.192,50520,137.110.0.69,443,17,213,288,2,2,1605607224048;1605607224138;1605607224308;1605607224349;,107;118;170;106;,1;2;2;1;
1605607226,192.168.1.192,50520,137.110.0.69,443,17,3192,6225,11,10,1605607226295;1605607226295;1605607226319;1605607226320;1605607226321;1605607226473;1605607226473;1605607226473;1605607226624;1605607226625;1605607226625;1605607226625;1605607226625;1605607226625;1605607226628;1605607226779;1605607226786;1605607226786;1605607226935;1605607226938;1605607226945;,141;141;350;606;118;118;106;320;1366;1366;1366;327;106;106;199;157;1074;775;106;463;106;,1;1;2;2;1;2;1;1;2;2;2;2;1;1;1;2;1;1;2;2;1;
1605607227,192.168.1.192,50520,137.110.0.69,443,17,106,106,1,1,1605607227095;1605607227095;,106;106;,2;1;
1605607227,192.168.1.203,5353,224.0.0.251,5353,17,140,0,1,0,1605607227312;,140;,1;
1605607227,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,160,0,1,0,1605607227313;,160;,1;
1605607228,192.168.1.203,5353,224.0.0.251,5353,17,172,0,1,0,1605607228336;,172;,1;
1605607228,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,192,0,1,0,1605607228337;,192;,1;
1605607228,192.168.1.192,50520,137.110.0.69,443,17,4881,881,7,4,1605607228420;1605607228420;1605607228420;1605607228420;1605607228468;1605607228581;1605607228581;1605607228676;1605607228704;1605607228704;1605607228926;,640;1366;1366;1117;106;137;141;106;532;106;145;,1;1;1;1;2;2;1;2;2;1;1;
1605607229,192.168.1.192,50520,137.110.0.69,443,17,6328,15615,37,33,1605607229014;1605607229215;1605607229215;1605607229236;1605607229237;1605607229237;1605607229264;1605607229264;1605607229265;1605607229265;1605607229265;1605607229265;1605607229265;1605607229291;1605607229338;1605607229360;1605607229361;1605607229411;1605607229411;1605607229411;1605607229482;1605607229482;1605607229482;1605607229482;1605607229483;1605607229483;1605607229489;1605607229489;1605607229489;1605607229541;1605607229543;1605607229543;1605607229543;1605607229543;1605607229544;1605607229544;1605607229544;1605607229634;1605607229655;1605607229655;1605607229676;1605607229677;1605607229678;1605607229707;1605607229707;1605607229708;1605607229737;1605607229739;1605607229739;1605607229740;1605607229740;1605607229740;1605607229740;1605607229740;1605607229740;1605607229740;1605607229740;1605607229751;1605607229752;1605607229752;1605607229782;1605607229783;1605607229784;1605607229784;1605607229784;1605607229784;1605607229812;1605607229812;1605607229813;1605607229813;,106;209;165;126;126;165;218;126;200;157;165;126;165;126;143;326;118;118;106;364;1366;106;1366;1279;106;106;199;193;253;106;157;175;249;106;106;106;144;106;148;148;378;410;118;118;106;629;106;1366;106;1366;1366;1366;106;106;106;1270;106;264;193;677;106;432;175;106;106;144;144;106;375;106;,2;1;1;2;2;2;2;1;2;2;2;1;1;2;1;2;1;2;1;1;2;1;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;2;2;1;1;1;2;1;1;1;1;2;2;2;1;1;1;2;1;2;1;
1605607230,192.168.1.192,50520,137.110.0.69,443,17,4889,20295,27,25,1605607230043;1605607230043;1605607230061;1605607230062;1605607230062;1605607230082;1605607230082;1605607230083;1605607230105;1605607230107;1605607230107;1605607230107;1605607230107;1605607230108;1605607230108;1605607230108;1605607230108;1605607230108;1605607230109;1605607230109;1605607230109;1605607230109;1605607230109;1605607230119;1605607230119;1605607230120;1605607230141;1605607230142;1605607230145;1605607230145;1605607230145;1605607230146;1605607230146;1605607230165;1605607230165;1605607230165;1605607230300;1605607230300;1605607230301;1605607230301;1605607230301;1605607230301;1605607230301;1605607230301;1605607230301;1605607230301;1605607230302;1605607230302;1605607230302;1605607230302;1605607230302;1605607230302;,128;128;554;519;118;118;106;609;106;1366;106;1366;1366;106;106;1366;1366;1366;106;1295;106;106;106;264;193;1291;106;106;157;106;175;106;144;144;106;106;1366;106;1366;948;1366;1366;106;106;106;106;1366;791;144;106;106;106;,1;1;2;2;1;2;1;1;2;2;1;2;2;1;1;2;2;2;1;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;
