Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606807225,2605:E000:151F:C329:ADC4:466B:49F2:19E9,63248,2607:F8B0:4007:1C::C,443,6,61,72,1,1,1606807225007;1606807225020;,61;72;,1;2;
1606807225,192.168.1.192,62961,205.196.6.67,443,6,103,40,1,1,1606807225424;1606807225509;,103;40;,1;2;
1606807226,192.168.1.192,62943,54.149.94.178,443,6,136,96,2,1,1606807226174;1606807226211;1606807226252;,96;96;40;,1;2;1;
1606807226,192.168.1.192,62960,128.54.70.212,443,6,75,111,1,2,1606807226385;1606807226385;1606807226397;,71;75;40;,2;1;2;
1606807226,192.168.1.192,63245,24.105.29.76,443,6,40,40,1,1,1606807226737;1606807226737;,40;40;,2;1;
1606807227,192.168.1.192,63185,130.211.26.229,443,6,41,52,1,1,1606807227897;1606807227912;,41;52;,1;2;
1606807230,192.168.1.192,62949,162.159.130.234,443,6,40,78,1,1,1606807230030;1606807230077;,78;40;,2;1;
1606807235,FE80::9A1E:19FF:FE38:1EB2,0,FF02::1,0,58,120,0,1,0,1606807235170;,120;,1;
1606807236,192.168.1.192,62943,54.149.94.178,443,6,136,96,2,1,1606807236161;1606807236199;1606807236254;,96;96;40;,1;2;1;
1606807236,192.168.1.192,49327,137.221.105.152,1119,6,109,40,1,1,1606807236231;1606807236249;,109;40;,1;2;
1606807237,192.168.1.192,49327,137.221.105.152,1119,6,40,237,1,1,1606807237702;1606807237744;,237;40;,2;1;
1606807239,192.168.1.192,62949,162.159.130.234,443,6,134,113,2,2,1606807239165;1606807239178;1606807239240;1606807239291;,94;40;73;40;,1;2;2;1;
1606807239,192.168.1.192,63251,52.114.128.10,443,6,0,40,0,1,1606807239904;,40;,2;
1606807242,192.168.1.192,63290,23.21.198.17,443,6,41,52,1,1,1606807242519;1606807242596;,41;52;,1;2;
